 CC    0     1     2     3     4     5     6     7   
 k=0  0(0)  inf   inf   inf   inf   inf   inf   inf  
 k=1  0(0)  5(0)  inf   inf   inf   inf   inf   inf  
 k=2  0(0)  5(0)  5(1)  inf   10(1) 6(1)  inf   inf  
 k=3  0(4)  5(0)  5(1)  inf   8(5)  6(1)  6(5)  inf  
 k=4  0(4)  5(0)  5(1)  inf   8(5)  6(1)  6(5)  10(6)
 k=5  0(4)  5(0)  5(1)  11(7) 8(1)  6(1)  6(5)  10(6)
 k=6  0(4)  5(0)  5(1)  11(7) 8(1)  6(1)  5(5)  10(6)
 k=7  0(4)  5(0)  5(1)  11(7) 8(5)  6(1)  5(5)  9(6) 
 k=8  0(4)  5(0)  5(1)  10(7) 8(1)  6(1)  5(5)  9(6) 
 k=9  0(4)  5(0)  5(1)  10(7) 8(1)  6(1)  4(5)  9(6) 
 k=10  0(4)  5(0)  5(1)  10(7) 8(1)  6(1)  4(5)  8(6) 
